unittitle,function
"Estienne, Jean",Personne
Evêque de Saintes,Personne
Fabre,Personne
"Fabury, Sieur de",Personne
Faget,Personne
"Falaiza, Sieur de",Personne
Faucher,Personne
Faure,Personne
"Faureau, Demoiselle",Personne
"Favereau, Demoiselle",Personne
Fayet,Personne
Fecquaire,Personne
"Féron, Nicolas",Personne
"Ferran, Pierre",Personne
Ferrier,Personne
"Ferroles, M. de",Personne
Ferry,Personne
"Ferville, M. de",Personne
"Feuquerolles, Sieur de",Personne
"Feuquières, Sieur de",Personne
Flamand,Personne
Fleuran,Personne
Fleury,Personne
Flindre Choüamy,Personne
Folville,Personne
Fondalon,Personne
"Fontenu, Sieur de",Personne
"Forant, Fils",Personne
"Forant, Job",Personne
"Forant, Madame",Personne
"Forant, Mademoiselle",Personne
"Forbin, Le chevalier de",Personne
Forestier,Personne
"Forges, M. et Mme de",Personne
Forsan,Personne
Fortin,Personne
Fouger,Personne
"Fourchelasière, Etienne",Personne
"Foureau, Gilbert",Personne
France,Personne
François,Personne
Fresneau,Personne
"Frezeau de la Frezelière, Charles-Madeleine",Personne
Friquet,Personne
"Frontenac, Le Comte de",Personne
Gabaret,Personne
Gabaret d'Angoulins,Personne
Gabaret de La Mothe,Personne
"Gabaret, Jean",Personne
Gabet,Personne
Gabriau,Personne
"Gacé, Le Comte de",Personne
"Gacier, Nicolas",Personne
Gaillard,Personne
"Galiffet, Sieur de",Personne
"Gallet, Sébastien",Personne
Gallon (alias Gaallon),Personne
Gallot,Personne
"Galluay, Jacques",Personne
"Ganes, Sieur de",Personne
"Garcin, Etienne",Personne
Garnier,Personne
"Gaschet, Veuve Thomas",Personne
Gaschinard,Personne
Gascq,Personne
Gassier,Personne
"Gastines, Sieur de",Personne
Gaudeau,Personne
Gaultier,Personne
Gautier,Personne
"Gennes, Madame de",Personne
"Gennes, Sieur de",Personne
Gentet,Personne
Geret Foyès,Personne
Germain,Personne
"Gessein, Veuve",Personne
"Gibaudière, de",Personne
"Gibouleau, Elie",Personne
Gimbal,Personne
Girard,Personne
Girardeau,Personne
Giraud,Personne
"Giraud, Jacques",Personne
"Giraudet, Pierre",Personne
"Girault, Demoiselle",Personne
"Girouil, Antoine",Personne
"Gito, (alias Gitton)",Personne
"Giton, (alias Gitton)",Personne
"Givry, de",Personne
Godefroy,Personne
Godemar,Personne
"Godet, Mademoiselle",Personne
Goezaud,Personne
Gombaud,Personne
Gombaud (alias Gombauld),Personne
"Gombaud, Demoiselle Eléonore",Personne
"Gomelieu, Sieur de",Personne
Gomot,Personne
Gorry ,Personne
Gouëton,Personne
Goulet,Personne
Gouletti,Personne
Gourdin,Personne
Goy,Personne
"Graf, de",Personne
"Gramont, Le Duc de",Personne
"Grandchamp, L. F. de",Personne
Grandguillaume,Personne
Grandmaison,Personne
Grandpré,Personne
"Grange, Sieur de",Personne
Graton,Personne
Grenon,Personne
"Griffolet, Sieur de",Personne
Grosbois,Personne
Guellevin,Personne
Guenon (alias Guenaut),Personne
Guerry,Personne
Guibaud,Personne
Guibert,Personne
Guichard,Personne
"Guichard, Jean-Baptiste",Personne
Guichon,Personne
"Guigue, Louis",Personne
Guillain,Personne
"Guillain, Demoiselle",Personne
"Guillet, Demoiselles",Personne
Guillon,Personne
Guillot,Personne
"Guimbail, de",Personne
Guimont,Personne
"Guise, Duchesse de",Personne
Guiton,Personne
"Guitton, Pierre",Personne
Guymont,Personne
Habert,Personne
Hardouin,Personne
Helvétius,Personne
Henry,Personne
Héron,Personne
"Héron, Fils",Personne
Hersfield,Personne
Heurtin,Personne
Hindret,Personne
Hocquart,Personne
Holandal,Personne
Hooper,Personne
Hubert,Personne
"Huet, Pierre, dit La Violette",Personne
Huot,Personne
Jacques,Personne
"Jacquin, Joseph",Personne
Jamain (alias Jamin),Personne
Jamon,Personne
Janneau,Personne
"Jarosson, Pierre",Personne
"Jean, Etienne",Personne
"Jean, Veuve Etienne",Personne
Jeantet (alias Gentet),Personne
"Jersey, Comte de",Personne
Jolet,Personne
Joly,Personne
"Joncoux, de",Personne
Jonquet,Personne
"Jonzac, Mademoiselle de",Personne
"Jorna, Sieur de",Personne
"Joubert, Jacques",Personne
Joué,Personne
Juchereau,Personne
"Jugné, Madame de",Personne
Julien,Personne
"Julien, Honoré",Personne
