nom,type,ID
"Lavergue, Sieur de",P,P6060
"Laverune, Sieur de",P,P6062
"Lavieuville, J. François Dubois Halhan de",P,P6064
Lavigne Buisson,P,P6068
"Lavigne, Isaac",P,P6069
Lavocat,P,P6073
"Lavogadre, M. de",P,P6074
"Lavrillière, de",P,P6078
Lebair,P,P6087
Lebègue,P,P6115
Leblanc,P,P6095
Lecamus,P,P6117
"Leclerq, Jacques",P,P6126
"Lefel, Charles",P,P6152
Lefèvre,P,P6158
Lefèvre de Chassenay,P,P6161
Legrand,P,P6180
Legras,P,P6186
Lelarge,P,P6197
Lemeyrat de Saint Abre,P,P6224
Lepeletier de Souzy,P,P6243
"Lequin, Marie",P,P6252
Leroux,P,P6260
Leroy,P,P6266
Leroy de La Poterie,P,P6269
"Leroy, Nicolas",P,P6274
Lervoire,P,P6277
Lescure,P,P6287
"Lesdiguières, La Duchesse de",P,P6288
"Lespine Danican, Sieur de",P,P6295
"Lestrille, de",P,P6307
"Lestrille, Sieur de",P,P6305
"Lestrille, Veuve de",P,P6306
Levasseur,P,P6324
Levasseur de Néré,P,P6325
Levau,P,P6328
Levayer,P,P6330
"Levy, Sieur de",P,P6337
Lezeau,P,P6339
Lhermite,P,P6341
"Ligondais, Sieur de",P,P6361
"Lille, Sieur de",P,P6366
"Lilleau, Sieur de",P,P6369
"Lion, Sieur de",P,P6385
"Livernan, Sieur de",P,P6395
Livron,P,P6399
"Logivière, Landouilette de",P,P6407
"Loire, Demoiselle de",P,P6413
"Loire, Marquise de",P,P6414
"Lombard, Joseph",P,P6420
"Loménie, M. de",P,P6425
Lorance,P,P6451
