function	ID	cID	geogname
Personne	P3582	C12869	Nord, Ecosse
Personne	P3582	C12879	Saint-Christophe
Personne	P3582	C12870	
Personne	P3582	C12871	
Personne	P3582	C12865	Saint Domingue
Personne	P3582	C12875	Rochefort
Personne	P3582	C12860	
Personne	P3582	C12860	
Personne	P3582	C12861	
Personne	P3582	C12881	
Personne	P3582	C12882	
Personne	P3582	C12882	
Personne	P3582	C12883	
Personne	P3582	C12859	la Havane
Personne	P3582	C12872	
Personne	P3582	C12876	
Personne	P3582	C12880	
Personne	P3582	C12874	Rochefort
Personne	P3582	C12867	la Corogne
Personne	P3582	C12868	la Corogne
Personne	P3582	C12855	
Personne	P3582	C12858	
Personne	P3582	C12862	Rochefort
Personne	P3582	C12884	La Rochelle
Personne	P3582	C12877	
Personne	P3582	C12857	Rochefort
Personne	P3582	C12866	
Personne	P3582	C12856	Passage, Mexique
Personne	P3582	C12850	
Personne	P3582	C12851	
Personne	P3582	C12878	
Personne	P3582	N7849	
Personne	P3582	C12863	Argenton
Personne	P3582	C12864	
Personne	P3582	N7849	
Personne	P3582	C12873	Brest
Personne	P3582	C12852	Paris
Personne	P3582	C12853	Paris
Personne	P3582	C12854	Paris
Personne	P3676	C13244	
Personne	P3676	C13245	
Personne	P3925	C13979	Bayonne
Personne	P3925	C13980	Canada
Personne	P4200	C15397	Guyenne, Aunis
Personne	P4200	C15393	Brouage
Personne	P4200	N9594	
Personne	P4200	N9594	
Personne	P4200	C15391	Aunis
Personne	P4200	C15404	
Personne	P4200	C15405	
Personne	P4200	C15406	
Personne	P4200	C15403	
Personne	P4200	C15401	Oléron
Personne	P4200	C15402	île d'Aix
Personne	P4200	C15392	Oléron
Personne	P4200	C15395	Aunis
Personne	P4200	N9598	
Personne	P4200	C15400	Aunis
Personne	P4200	C15400	Aunis
Personne	P4200	C15396	
Personne	P4200	C15399	
Personne	P4200	C15407	Rochefort
Personne	P4200	C15409	Paris
Personne	P4200	C15408	
Personne	P4200	C15398	Les
Personne	P4200	C15394	
Personne	P4306	C16076	La Tremblade, Brest, île de Ré, Rochefort
Personne	P4790	C17653	
Personne	P4790	C17654	
Personne	P4790	C17648	
Personne	P4790	C17649	
Personne	P4790	C17650	Contrôle
Personne	P4790	C17651	Contrôle
Personne	P4790	C17652	
Personne	P4790	N10977	
Personne	P5524	N12584	
Personne	P5605	C20500	
Personne	P5951	C21906	
Personne	P5951	C21907	
Personne	P6195	C22583	La Rochelle, la Corogne, Santander, Bilbao, Hambourg
Personne	P6288	C22800	Nantes
Personne	P6487	N14730	
Personne	P6523	C23408	
Personne	P6646	N15267	
Personne	P6646	N15268	
Personne	P6646	C23967	Martinique
Personne	P6646	C23969	
Personne	P6646	C23963	Marennes, département de Marennes
Personne	P6646	C23968	
Personne	P6646	C23964	Marennes
Personne	P6646	C23970	Marennes
Personne	P6646	C23970	Marennes
Personne	P6646	C23966	Jard
